n,iterative,recursive,tail
755,0.0007674240005144384,2.3106000298867002e-05,0.00031989800118026324
768,0.0007904060003056657,2.3863001842983067e-05,0.0003196910001861397
781,0.000802367998403497,2.342799780308269e-05,0.00032951799948932603
794,0.0007842279992473777,2.4972003302536905e-05,0.0003367850003996864
807,0.0008126520006044302,2.4308999854838476e-05,0.0003256410018366296
820,0.0008331140015798155,2.4672001018188894e-05,0.00033151800016639754
833,0.0008379240025533363,2.416400093352422e-05,0.0003389200028323103
846,0.0008449929991911631,2.3863001842983067e-05,0.00033934499879251234
859,0.0008927919989218935,3.091100006713532e-05,0.0003532250011630822
872,0.0009297469987359364,2.818599750753492e-05,0.0003538780001690611
885,0.0008852559985825792,2.7087000489700586e-05,0.00037800000063725747
898,0.0009058010000444483,2.5449000531807542e-05,0.00037785599852213636
911,0.0009201479988405481,2.53549987974111e-05,0.0004094100004294887
924,0.0009298920012952294,2.427699655527249e-05,0.000376610998500837
937,0.0009811109994188882,2.530299752834253e-05,0.00040312800047104247
950,0.0009674069988250267,2.5563000235706568e-05,0.0003887919992848765
963,0.0010360520027461462,2.547999974922277e-05,0.0003957780027121771
976,0.0009939439987647347,2.5822002498898655e-05,0.000400328997784527
989,0.0010254780027025845,2.5034998543560505e-05,0.0004119280019949656
1002,0.0010286920005455613,2.643300103954971e-05,0.00041127500298898667
1015,0.0010362069988332223,2.684900027816184e-05,0.00042027300150948577
1028,0.0010711100003391039,2.533499718992971e-05,0.00045611899986397475
1041,0.0010589090015855618,2.6723999326350167e-05,0.00043404000098234974
1054,0.0010883489994739648,2.4360000679735094e-05,0.00046612200094386935
1067,0.0011057119991164654,2.5520999770378694e-05,0.0004546470008790493
1080,0.0011274390017206315,2.6142999558942392e-05,0.0004497959998843726
1093,0.0011564650012587663,2.5551998987793922e-05,0.00044906000039190985
1106,0.0011372459994163364,2.6277997676515952e-05,0.0004607739974744618
1119,0.001154608999058837,2.6268000510754064e-05,0.00047192700003506616
1132,0.0011682719996315427,2.5314002414233983e-05,0.00046576999739045277
1145,0.001221335001901025,2.4857999960659072e-05,0.00047959800212993287
1158,0.0011951199994655326,2.5272998755099252e-05,0.000497520999488188
1171,0.0012081599998055026,2.6723999326350167e-05,0.0005156830011401325
1184,0.0012277729983907193,2.6214998797513545e-05,0.0005260070029180497
1197,0.0012363969981379341,2.5313998776255175e-05,0.0005019470008846838
1210,0.001240399000380421,2.6548001187620685e-05,0.0005842760001542047
1223,0.0012560830000438727,2.939899786724709e-05,0.0005371510014811065
1236,0.0012674540012085345,2.4547000066377223e-05,0.000515630999871064
1249,0.0013284490014484618,2.4588000087533146e-05,0.0005285779989208095
1262,0.0012911829981021583,2.9512997571146116e-05,0.0005249809983070008
1275,0.0013176780012145173,2.815400148392655e-05,0.0005384269970818423
1288,0.001317656999162864,2.6424000679980963e-05,0.0005545040003198665
